,id,price,bedrooms,bathrooms,sqft_living,sqft_total,floors,waterfront,view,condition,grade,built,renovated,living_area
0,7129300520,221900,3,1,1180,5650,1,0,0,3,7,1955,0,1340
1,6414100192,538000,3,2.25,2570,7242,2,0,0,3,7,1951,1991,1690
2,5631500400,180000,2,1,770,10000,1,0,0,3,6,1933,0,2720
3,2487200875,604000,4,3,1960,5000,1,0,0,5,7,1965,0,1360
4,1954400510,510000,3,2,1680,8080,1,0,0,3,8,1987,0,1800
5,7237550310,1225000,4,4.5,5420,101930,1,0,0,3,11,2001,0,4760
6,1321400060,257500,3,2.25,1715,6819,2,0,0,3,7,1995,0,2238
7,2008000270,291850,3,1.5,1060,9711,1,0,0,3,7,1963,0,1650
8,2414600126,229500,3,1,1780,7470,1,0,0,3,7,1960,0,1780
9,3793500160,323000,3,2.5,1890,6560,2,0,0,3,7,2003,0,2390
10,1736800520,662500,3,2.5,3560,9796,1,0,0,3,8,1965,0,2210
11,9212900260,468000,2,1,1160,6000,1,0,0,4,7,1942,0,1330
12,114101516,310000,3,1,1430,19901,1.5,0,0,4,7,1927,0,1780
13,6054650070,400000,3,1.75,1370,9680,1,0,0,4,7,1977,0,1370
14,1175000570,530000,5,2,1810,4850,1.5,0,0,3,7,1900,0,1360
15,9297300055,650000,4,3,2950,5000,2,0,3,3,9,1979,0,2140
16,1875500060,395000,3,2,1890,14040,2,0,0,3,7,1994,0,1890
17,6865200140,485000,4,1,1600,4300,1.5,0,0,4,7,1916,0,1610
18,16000397,189000,2,1,1200,9850,1,0,0,4,7,1921,0,1060
19,7983200060,230000,3,1,1250,9774,1,0,0,4,7,1969,0,1280
20,6300500875,385000,4,1.75,1620,4980,1,0,0,4,7,1947,0,1400
21,2524049179,2000000,3,2.75,3050,44867,1,0,4,3,9,1968,0,4110
22,7137970340,285000,5,2.5,2270,6300,2,0,0,3,8,1995,0,2240
23,8091400200,252700,2,1.5,1070,9643,1,0,0,3,7,1985,0,1220
24,3814700200,329000,3,2.25,2450,6500,2,0,0,4,8,1985,0,2200
25,1202000200,233000,3,2,1710,4697,1.5,0,0,5,6,1941,0,1030
26,1794500383,937000,3,1.75,2450,2691,2,0,0,3,8,1915,0,1760
27,3303700376,667000,3,1,1400,1581,1.5,0,0,5,8,1909,0,1860
28,5101402488,438000,3,1.75,1520,6380,1,0,0,3,7,1948,0,1520
29,1873100390,719000,4,2.5,2570,7173,2,0,0,3,8,2005,0,2630
30,8562750320,580500,3,2.5,2320,3980,2,0,0,3,8,2003,0,2580
31,2426039314,280000,2,1.5,1190,1265,3,0,0,3,7,2005,0,1390
32,461000390,687500,4,1.75,2330,5000,1.5,0,0,4,7,1929,0,1460
33,7589200193,535000,3,1,1090,3000,1.5,0,0,4,8,1929,0,1570
34,7955080270,322500,4,2.75,2060,6659,1,0,0,3,7,1981,0,2020
35,9547205180,696000,3,2.5,2300,3060,1.5,0,0,3,8,1930,2002,1590
36,9435300030,550000,4,1,1660,34848,1,0,0,1,5,1933,0,2160
37,2768000400,640000,4,2,2360,6000,2,0,0,4,8,1904,0,1730
38,7895500070,240000,4,1,1220,8075,1,0,0,2,7,1969,0,1290
39,2078500320,605000,4,2.5,2620,7553,2,0,0,3,8,1996,0,2620
40,5547700270,625000,4,2.5,2570,5520,2,0,0,3,9,2000,0,2470
41,7766200013,775000,4,2.25,4220,24186,1,0,0,3,8,1984,0,2410
42,7203220400,861990,5,2.75,3595,5639,2,0,0,3,9,2014,0,3625
43,9270200160,685000,3,1,1570,2280,2,0,0,3,7,1922,0,1580
44,1432701230,309000,3,1,1280,9656,1,0,0,4,6,1959,0,1340
45,8035350320,488000,3,2.5,3160,13603,2,0,0,3,8,2003,0,3050
46,8945200830,210490,3,1,990,8528,1,0,0,3,6,1966,0,1228
47,4178300310,785000,4,2.5,2290,13416,2,0,0,4,9,1981,0,2680
48,9215400105,450000,3,1.75,1250,5963,1,0,0,4,7,1953,0,970
49,822039084,1350000,3,2.5,2753,65005,1,1,2,5,9,1953,0,2680
50,5245600105,228000,3,1,1190,9199,1,0,0,3,7,1955,0,1190
51,7231300125,345000,5,2.5,3150,9134,1,0,0,4,8,1966,0,1990
52,7518505990,600000,3,1.75,1410,4080,1,0,0,4,7,1950,0,1410
53,3626039271,585000,2,1.75,1980,8550,1,0,0,3,7,1981,0,1480
54,4217401195,920000,5,2.25,2730,6000,1.5,0,0,3,8,1927,0,2730
55,9822700295,885000,4,2.5,2830,5000,2,0,0,3,9,1995,0,1950
56,9478500640,292500,4,2.5,2250,4495,2,0,0,3,7,2008,0,2250
57,2799800710,301000,3,2.5,2420,4750,2,0,0,3,8,2003,0,2690
58,7922800400,951000,5,3.25,3250,14342,2,0,4,4,8,1968,0,2960
59,8079040320,430000,4,3,1850,9976,2,0,0,3,8,1991,0,2270
60,1516000055,650000,3,2.25,2150,21235,1,0,3,4,8,1959,0,2570
61,9558200045,289000,3,1.75,1260,8400,1,0,0,3,7,1954,0,1290
62,5072410070,505000,3,1.75,2519,8690,2,0,0,5,8,1973,0,2500
63,9528102996,549000,3,1.75,1540,1044,3,0,0,3,8,2014,0,1580
64,1189001180,425000,3,2.25,1660,6000,1,0,0,3,7,1979,0,1440
65,3253500160,317625,3,2.75,2770,3809,1.5,0,0,5,7,1925,0,1440
66,3394100030,975000,4,2.5,2720,11049,2,0,0,3,10,1989,0,2750
67,3717000160,287000,4,2.5,2240,4648,2,0,0,3,7,2005,0,2221
68,1274500060,204000,3,1,1000,12070,1,0,0,4,7,1968,0,1010
69,1802000060,1325000,5,2.25,3200,20158,1,0,0,3,8,1965,0,3390
70,1525059190,1040000,5,3.25,4770,50094,1,0,0,4,11,1973,0,3530
71,1049000060,325000,3,2,1260,5612,1,0,0,4,7,1972,0,1640
